"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PRIV","PC_GDP","A","1980",1.223,
"AUS","SOCEXP","PRIV","PC_GDP","A","1981",1.392,
"AUS","SOCEXP","PRIV","PC_GDP","A","1982",1.678,
"AUS","SOCEXP","PRIV","PC_GDP","A","1983",1.345,
"AUS","SOCEXP","PRIV","PC_GDP","A","1984",0.861,
"AUS","SOCEXP","PRIV","PC_GDP","A","1985",0.837,
"AUS","SOCEXP","PRIV","PC_GDP","A","1986",0.944,
"AUS","SOCEXP","PRIV","PC_GDP","A","1987",0.925,
"AUS","SOCEXP","PRIV","PC_GDP","A","1988",0.976,
"AUS","SOCEXP","PRIV","PC_GDP","A","1989",1.011,
"AUS","SOCEXP","PRIV","PC_GDP","A","1990",1.096,
"AUS","SOCEXP","PRIV","PC_GDP","A","1991",1.204,
"AUS","SOCEXP","PRIV","PC_GDP","A","1992",1.236,
"AUS","SOCEXP","PRIV","PC_GDP","A","1993",1.397,
"AUS","SOCEXP","PRIV","PC_GDP","A","1994",1.419,
"AUS","SOCEXP","PRIV","PC_GDP","A","1995",3.295,
"AUS","SOCEXP","PRIV","PC_GDP","A","1996",3.526,
"AUS","SOCEXP","PRIV","PC_GDP","A","1997",3.858,
"AUS","SOCEXP","PRIV","PC_GDP","A","1998",3.538,
"AUS","SOCEXP","PRIV","PC_GDP","A","1999",4.025,
"AUS","SOCEXP","PRIV","PC_GDP","A","2000",3.717,
"AUS","SOCEXP","PRIV","PC_GDP","A","2001",4.01,
"AUS","SOCEXP","PRIV","PC_GDP","A","2002",3.96,
"AUS","SOCEXP","PRIV","PC_GDP","A","2003",3.486,
"AUS","SOCEXP","PRIV","PC_GDP","A","2004",2.743,
"AUS","SOCEXP","PRIV","PC_GDP","A","2005",2.846,
"AUS","SOCEXP","PRIV","PC_GDP","A","2006",2.878,
"AUS","SOCEXP","PRIV","PC_GDP","A","2007",5.18,
"AUS","SOCEXP","PRIV","PC_GDP","A","2008",4.437,
"AUS","SOCEXP","PRIV","PC_GDP","A","2009",4.324,
"AUS","SOCEXP","PRIV","PC_GDP","A","2010",4.336,
"AUS","SOCEXP","PRIV","PC_GDP","A","2011",4.624,
"AUS","SOCEXP","PRIV","PC_GDP","A","2012",4.843,
"AUS","SOCEXP","PRIV","PC_GDP","A","2013",5.42,
"AUS","SOCEXP","PRIV","PC_GDP","A","2014",5.999,
"AUS","SOCEXP","PRIV","PC_GDP","A","2015",6.193,
"AUS","SOCEXP","PRIV","PC_GDP","A","2016",6.361,
"AUS","SOCEXP","PRIV","PC_GDP","A","2017",6.565,
"AUS","SOCEXP","PUB","PC_GDP","A","1980",10.262,
"AUS","SOCEXP","PUB","PC_GDP","A","1981",10.134,
"AUS","SOCEXP","PUB","PC_GDP","A","1982",11.109,
"AUS","SOCEXP","PUB","PC_GDP","A","1983",11.612,
"AUS","SOCEXP","PUB","PC_GDP","A","1984",11.993,
"AUS","SOCEXP","PUB","PC_GDP","A","1985",12.084,
"AUS","SOCEXP","PUB","PC_GDP","A","1986",11.918,
"AUS","SOCEXP","PUB","PC_GDP","A","1987",12.172,
"AUS","SOCEXP","PUB","PC_GDP","A","1988",11.465,
"AUS","SOCEXP","PUB","PC_GDP","A","1989",11.604,
"AUS","SOCEXP","PUB","PC_GDP","A","1990",13.141,
"AUS","SOCEXP","PUB","PC_GDP","A","1991",14.306,
"AUS","SOCEXP","PUB","PC_GDP","A","1992",15.285,
"AUS","SOCEXP","PUB","PC_GDP","A","1993",15.545,
"AUS","SOCEXP","PUB","PC_GDP","A","1994",15.271,
