"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","1998",730,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2002",820,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2004",839,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2006",1095,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2007",1094,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2009",1355,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2011",1467,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2013",1588,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2015",1742,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",2703,
"AUT","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",2968,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","1998",31.8777292576419,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2002",34.6283783783784,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2004",36.2419006479482,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2006",39.2613840086052,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2007",39.3100970176069,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2009",43.0842607313196,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2011",43.9616421935871,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2013",45.7373271889401,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2015",46.4905257539365,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",40.966959684753,
"AUT","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",42.177064089811,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2002",633,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2003",657,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2004",757,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2005",789,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2006",780,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2007",820,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2008",998,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2009",1056,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2010",1029,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2011",1077,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2012",1420,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2013",1481,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2014",1642,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2015",1675,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2016",1734,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",1811,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",2069,
"BEL","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",2134,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2002",29.8725814063237,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2003",30.1376146788991,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2004",31.1394487865076,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2005",31.4217443249701,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2006",30.3856641994546,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2007",30.9084055785903,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2008",32.2768434670117,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2009",32.4823131344202,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2010",33.5288367546432,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2011",33.4992223950233,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2012",35.8404846037355,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2013",36.4688500369367,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2014",36.7173524150268,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2015",37.21395245501,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2016",36.359823862445,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2017",36.5710823909532,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2018",35.7834659287444,
"BEL","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2019",35.4897721603193,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","1999",2300,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2000",2488,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2001",2549,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2002",2582,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2003",2611,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2004",2882.92,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2005",3453.5,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2006",3621.09,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2007",3679,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2008",3861.95,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2009",3450.97,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2010",3301,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2011",3474.62,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2012",3393,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2013",3633.46,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2014",3624.58,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2015",3847,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2016",3966,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2017",4308,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2018",4320,
"CZE","GOVRESEARCHER","WOMEN","HEADCOUNT","A","2019",4354,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","1999",30.9472551130248,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2000",31.6539440203562,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2001",32.2250316055626,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2002",32.8917197452229,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2003",32.6497436538702,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2004",35.1002021087491,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2005",38.2448668157259,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2006",38.3238064193162,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2007",38.5598993816162,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2008",39.3427375442764,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2009",39.3177496516515,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2010",37.9556168793837,
"CZE","GOVRESEARCHER","WOMEN","PC_NATIONAL","A","2011",38.8920976046564,
