"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FIXWIRED","TOT","100HAB","A","2009",24.055,
"AUS","FIXWIRED","TOT","100HAB","A","2010",25.041,
"AUS","FIXWIRED","TOT","100HAB","A","2011",25.215,
"AUS","FIXWIRED","TOT","100HAB","A","2012",25.883,
"AUS","FIXWIRED","TOT","100HAB","A","2013",26.595,
"AUS","FIXWIRED","TOT","100HAB","A","2014",27.842,
"AUS","FIXWIRED","TOT","100HAB","A","2015",28.397,
"AUS","FIXWIRED","TOT","100HAB","A","2016",30.483,
"AUS","FIXWIRED","TOT","100HAB","A","2017",32.201,
"AUS","FIXWIRED","TOT","100HAB","A","2018",33.733,
"AUS","FIXWIRED","TOT","100HAB","A","2019",34.578,
"AUS","FIXWIRED","TOT","100HAB","A","2020",35.411,
"AUT","FIXWIRED","TOT","100HAB","A","2009",21.499,
"AUT","FIXWIRED","TOT","100HAB","A","2010",23.187,
"AUT","FIXWIRED","TOT","100HAB","A","2011",24.456,
"AUT","FIXWIRED","TOT","100HAB","A","2012",25.218,
"AUT","FIXWIRED","TOT","100HAB","A","2013",26.308,
"AUT","FIXWIRED","TOT","100HAB","A","2014",27.554,
"AUT","FIXWIRED","TOT","100HAB","A","2015",28.459,
"AUT","FIXWIRED","TOT","100HAB","A","2016",28.87,
"AUT","FIXWIRED","TOT","100HAB","A","2017",28.551,
"AUT","FIXWIRED","TOT","100HAB","A","2018",28.53,
"AUT","FIXWIRED","TOT","100HAB","A","2019",28.388,
"AUT","FIXWIRED","TOT","100HAB","A","2020",29.221,
"BEL","FIXWIRED","TOT","100HAB","A","2009",29.027,
"BEL","FIXWIRED","TOT","100HAB","A","2010",30.958,
"BEL","FIXWIRED","TOT","100HAB","A","2011",32.105,
"BEL","FIXWIRED","TOT","100HAB","A","2012",33.24,
"BEL","FIXWIRED","TOT","100HAB","A","2013",34.312,
"BEL","FIXWIRED","TOT","100HAB","A","2014",35.786,
"BEL","FIXWIRED","TOT","100HAB","A","2015",36.554,
"BEL","FIXWIRED","TOT","100HAB","A","2016",37.687,
"BEL","FIXWIRED","TOT","100HAB","A","2017",38.496,
"BEL","FIXWIRED","TOT","100HAB","A","2018",39.406,
"BEL","FIXWIRED","TOT","100HAB","A","2019",39.957,
"BEL","FIXWIRED","TOT","100HAB","A","2020",41.042,
"CAN","FIXWIRED","TOT","100HAB","A","2009",30.599,
"CAN","FIXWIRED","TOT","100HAB","A","2010",31.81,
"CAN","FIXWIRED","TOT","100HAB","A","2011",32.842,
"CAN","FIXWIRED","TOT","100HAB","A","2012",33.657,
"CAN","FIXWIRED","TOT","100HAB","A","2013",34.457,
"CAN","FIXWIRED","TOT","100HAB","A","2014",35.469,
"CAN","FIXWIRED","TOT","100HAB","A","2015",36.729,
"CAN","FIXWIRED","TOT","100HAB","A","2016",37.072,
"CAN","FIXWIRED","TOT","100HAB","A","2017",38.099,
"CAN","FIXWIRED","TOT","100HAB","A","2018",38.974,
"CAN","FIXWIRED","TOT","100HAB","A","2019",40.279,
"CAN","FIXWIRED","TOT","100HAB","A","2020",41.559,
"CZE","FIXWIRED","TOT","100HAB","A","2009",19.407,
"CZE","FIXWIRED","TOT","100HAB","A","2010",21.507,
"CZE","FIXWIRED","TOT","100HAB","A","2011",23.782,
"CZE","FIXWIRED","TOT","100HAB","A","2012",25.277,
"CZE","FIXWIRED","TOT","100HAB","A","2013",26.662,
"CZE","FIXWIRED","TOT","100HAB","A","2014",28.75,
"CZE","FIXWIRED","TOT","100HAB","A","2015",28.171,
"CZE","FIXWIRED","TOT","100HAB","A","2016",29.003,
"CZE","FIXWIRED","TOT","100HAB","A","2017",29.62,
"CZE","FIXWIRED","TOT","100HAB","A","2018",30.249,
"CZE","FIXWIRED","TOT","100HAB","A","2019",34.945,
"CZE","FIXWIRED","TOT","100HAB","A","2020",35.851,
"DNK","FIXWIRED","TOT","100HAB","A","2009",37.667,
"DNK","FIXWIRED","TOT","100HAB","A","2010",38.764,
"DNK","FIXWIRED","TOT","100HAB","A","2011",39.236,
"DNK","FIXWIRED","TOT","100HAB","A","2012",39.674,
"DNK","FIXWIRED","TOT","100HAB","A","2013",41.086,
"DNK","FIXWIRED","TOT","100HAB","A","2014",42.17,
"DNK","FIXWIRED","TOT","100HAB","A","2015",42.875,
