"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1980",0.917,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1981",0.885,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1982",0.951,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1983",0.991,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1984",1.021,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1985",1.038,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1986",1.048,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1987",1.046,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1988",1.005,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1989",1.17,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1990",1.733,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1991",1.618,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1992",2.175,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1993",2.318,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1994",2.271,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1995",2.364,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1996",2.407,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1997",2.396,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1998",2.6,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","1999",2.572,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2000",2.56,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2001",2.536,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2002",2.527,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2003",2.465,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2004",2.355,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2005",2.27,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2006",2.187,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2007",2.171,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2008",2.313,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2009",2.331,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2010",2.329,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2011",2.392,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2012",2.435,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2013",2.502,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2014",2.556,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2015",2.539,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2016",2.347,
"AUS","PUBEXPINCAPACITY","TOT","PC_GDP","A","2017",2.239,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1980",0.901,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1981",0.87,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1982",0.924,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1983",0.958,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1984",0.999,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1985",1.017,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1986",1.022,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1987",1.025,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1988",0.983,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1989",1.149,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1990",1.709,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1991",1.591,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1992",1.818,
"AUS","PUBEXPINCAPACITY","INCASH","PC_GDP","A","1993",1.941,
